berglund|human|ATP2A1`|ENSG00000196296|16|28914939|28915102|+|dn_3intron	570	120	254	234
berglund|human|ATP2A1`|ENSG00000196296|16|28914939|28915102|+|dn_5intron	182	155	96	41
berglund|human|ATP2A1`|ENSG00000196296|16|28914939|28915102|+|exon	528	440	155	254
berglund|human|ATP2A1`|ENSG00000196296|16|28914939|28915102|+|up_3intron	207	382	256	50
berglund|human|ATP2A1`|ENSG00000196296|16|28914939|28915102|+|up_5intron	18	34	19	11
berglund|human|ATP2A1`|ENSG00000196296|16|28914939|28915102|+|up_exon	408	205	2	8
berglund|human|TNNT2|ENSG00000118194|1|201338914|201339027|-|dn_3intron	705	1281	2302	235
berglund|human|TNNT2|ENSG00000118194|1|201338914|201339027|-|dn_5intron	267	183	34	12
berglund|human|TNNT2|ENSG00000118194|1|201338914|201339027|-|dn_exon	675	383	467	139
berglund|human|TNNT2|ENSG00000118194|1|201338914|201339027|-|exon	334	355	95	66
berglund|human|TNNT2|ENSG00000118194|1|201338914|201339027|-|up_3intron	663	253	97	210
berglund|human|TNNT2|ENSG00000118194|1|201338914|201339027|-|up_5intron	593	172	102	67
berglund|human|TNNT2|ENSG00000118194|1|201338914|201339027|-|up_exon	410	158	43	60
berglund|mouse|NFIX|ENSMUSG00000001911|8|87247611|87247774|-|dn_3intron	956	522	386	1264
berglund|mouse|NFIX|ENSMUSG00000001911|8|87247611|87247774|-|dn_5intron	106	36	47	8
berglund|mouse|NFIX|ENSMUSG00000001911|8|87247611|87247774|-|dn_exon	193	360	124	76
berglund|mouse|NFIX|ENSMUSG00000001911|8|87247611|87247774|-|exon	1665	600	535	439
berglund|mouse|NFIX|ENSMUSG00000001911|8|87247611|87247774|-|up_3intron	274	42	45	19
berglund|mouse|NFIX|ENSMUSG00000001911|8|87247611|87247774|-|up_5intron	276	109	187	150
berglund|mouse|NFIX|ENSMUSG00000001911|8|87247611|87247774|-|up_exon	540	103	31	30
const|mouse|0610010F05Rik|ENSMUSG00000042208|11|23520229|23520467|-|dn_3intron	220	11	33	28
